su,bl,type,tr,let,num,rilet,vac,vse,rt,acc,respSE,respRT,statAC,statSE,statRT,stratac,strat,stratrt,item
1,8,3,8,7,9,16,0,0,2784,1,16,0,0,1,53,0,0,0,8
1,8,3,9,4,7,11,0,0,1132,1,11,0,0,1,62,1,2,1231,5
1,8,3,10,9,9,18,0,0,1306,1,18,0,0,1,69,0,0,0,10
1,9,3,1,3,9,12,0,0,1543,1,12,0,0,1,62,1,2,1417,4
1,9,3,2,6,7,13,0,0,1076,1,13,0,0,1,105,0,0,0,7
1,9,3,3,8,7,15,0,0,908,1,15,0,0,1,79,0,0,0,9
1,9,3,4,1,9,10,0,0,1077,1,10,0,0,1,106,1,2,1162,2
1,9,3,5,9,9,18,0,0,750,1,18,0,0,1,107,1,2,1095,10
1,9,3,6,2,7,9,0,0,776,1,9,0,0,1,116,0,0,0,3
1,9,3,7,5,9,14,0,0,862,1,14,0,0,1,74,1,2,1033,6
1,9,3,8,0,7,7,0,0,1441,1,7,0,0,1,76,0,0,0,1
1,9,3,9,7,9,16,0,0,1040,0,12,0,0,1,4371,1,2,4258,8
1,9,3,10,4,7,11,0,0,1431,1,11,0,0,1,87,0,0,0,5
1,10,3,1,5,9,14,0,0,1259,1,14,0,0,1,74,0,0,0,6
1,10,3,2,3,9,12,0,0,1019,1,12,0,0,1,94,0,0,0,4
1,10,3,3,8,7,15,0,0,921,1,15,0,0,1,95,1,2,1123,9
1,10,3,4,2,7,9,0,0,736,1,9,0,0,1,70,1,2,1103,3
1,10,3,5,4,7,11,0,0,1554,1,11,0,0,1,64,1,2,895,5
1,10,3,6,9,9,18,0,0,894,1,18,0,0,1,104,0,0,0,10
1,10,3,7,6,7,13,0,0,896,1,13,0,0,1,96,1,2,769,7
1,10,3,8,7,9,16,0,0,761,1,16,0,0,1,74,0,0,0,8
1,10,3,9,0,7,7,0,0,831,1,7,0,0,1,69,1,2,785,1
1,10,3,10,1,9,10,0,0,1188,1,10,0,0,1,49,0,0,0,2
1,11,3,1,6,7,13,0,0,1108,1,13,0,0,1,84,0,0,0,7
1,11,3,2,8,7,15,0,0,806,1,15,0,0,1,76,0,0,0,9
