subject,trial,first.correct.trial.item,trials.since.1st.correct,reversions,item,strategy,is.alg,is.ret,RT,logRT,pred.logRT.ps,pred.RT.ps,pred.logRT.de,pred.RT.de
1,1,2,0,FALSE,1,1,1,0,6882,8.836664586357426,8.924608177486121,7514.638351574513,8.318447567974133,4098.791970657742
1,2,2,1,FALSE,1,2,0,1,1400,7.24422751560335,7.118523040876818,1234.6255946554554,6.987216572260805,1082.7036508098724
1,3,2,2,FALSE,1,2,0,1,1404,7.247080584585756,7.044434405073402,1146.4602203221716,6.731989471198471,838.814404140463
1,4,2,3,FALSE,1,2,0,1,1290,7.162397497355718,6.991867681410054,1087.7511528081382,6.716938297839482,826.2837998303648
1,5,2,4,FALSE,1,2,0,1,1104,7.00669522683704,6.951093762829644,1044.2913107752368,6.712129474474377,822.3198855081564
1,6,2,5,FALSE,1,2,0,1,989,6.8966943316227125,6.917779045606639,1010.074172852484,6.710057109398146,820.6175030841475
1,8,2,7,FALSE,1,2,0,1,967,6.874198495453294,6.8652123219432895,958.3492967887381,6.708420863687498,819.2758691353703
1,9,2,8,FALSE,1,2,0,1,650,6.476972362889683,6.843690409803223,937.9441538901174,6.708062141309907,818.9820292543125
1,10,2,9,FALSE,1,2,0,1,888,6.78897174299217,6.824438403362881,920.0595565818379,6.707830194928065,818.7920913643884
1,11,2,10,FALSE,1,2,0,1,766,6.641182169740591,6.8070228451343855,904.1749271292765,6.707672928315791,818.6633328309971
1,12,2,11,FALSE,1,2,0,1,668,6.504288173536645,6.7911236861398745,889.9129830923606,6.707562122591443,818.5726252729568
1,13,2,12,FALSE,1,2,0,1,805,6.690842277418564,6.776497877657331,876.9920064315041,6.7074815390731954,818.5066644685837
1,14,2,13,FALSE,1,2,0,1,603,6.401917196727186,6.762956494072823,865.1963661623697,6.707421356805408,818.4574063635642
1,16,2,15,FALSE,1,2,0,1,827,6.717804695023691,6.738556962476526,844.3414399372892,6.70733957630714,818.3904752459277
1,17,2,16,FALSE,1,2,0,1,814,6.70196036600254,6.727479324877979,835.0397469686194,6.707311211129717,818.3672617841247
1,18,2,17,FALSE,1,2,0,1,863,6.760414691083428,6.7170350503364595,826.3637487187756,6.707288406206125,818.3485991940496
1,19,2,18,FALSE,1,2,0,1,771,6.647688373563329,6.707155614139627,818.2399362073983,6.707269829990923,818.3333975155563
1,20,2,19,FALSE,1,2,0,1,751,6.621405651764134,6.697783043896116,810.6067520844881,6.707254521032775,818.320869779716
1,21,2,20,FALSE,1,2,0,1,720,6.579251212010101,6.688867858269408,803.4121606309845,6.7072417723586355,818.3104373401056
1,22,2,21,FALSE,1,2,0,1,963,6.870053411798126,6.680367485667622,796.6118016527544,6.707231055572752,818.3016677293534
1,23,2,22,FALSE,1,2,0,1,1064,6.96979066990159,6.672245034729003,790.1675682907592,6.707221969905219,818.2942329462338
1,24,2,23,FALSE,1,2,0,1,729,6.591673732008658,6.664468326673111,784.0464975357846,6.707214207315768,818.2878808887074
1,25,2,24,FALSE,1,2,0,1,803,6.688354713946762,6.6570091253157075,778.2198947546223,6.707207528155764,818.2824154312741
