su,bl,item,RT,itype,first,strat,bl_r
44,19,26,1284,2,4,2,16
44,20,26,1425,2,4,2,17
44,21,26,1986,2,4,2,18
44,22,26,2098,2,4,2,19
44,23,26,682,2,4,2,20
44,24,26,1079,2,4,2,21
44,25,26,807,2,4,2,22
44,27,26,1720,2,4,2,24
44,29,26,1935,2,4,2,26
44,30,26,1296,2,4,2,27
44,31,26,1556,2,4,2,28
44,32,26,2738,2,4,2,29
44,33,26,878,2,4,2,30
44,34,26,2677,2,4,2,31
44,1,27,6776,2,2,1,0
44,2,27,1118,2,2,2,1
44,3,27,1453,2,2,2,2
44,11,27,1911,2,2,2,10
44,13,27,2009,2,2,2,12
44,14,27,3860,2,2,2,13
44,15,27,6125,2,2,1,14
44,18,27,2449,2,2,2,17
44,20,27,1863,2,2,2,19
44,21,27,1349,2,2,2,20
44,22,27,1080,2,2,2,21
44,23,27,1723,2,2,2,22
44,24,27,841,2,2,2,23
44,25,27,1321,2,2,2,24
44,26,27,1709,2,2,2,25
44,27,27,1677,2,2,2,26
44,28,27,1839,2,2,2,27
44,29,27,1700,2,2,2,28
44,30,27,1433,2,2,2,29
44,31,27,646,2,2,2,30
44,32,27,972,2,2,2,31
44,33,27,1091,2,2,2,32
44,34,27,1652,2,2,2,33
44,1,28,5304,2,4,1,-2
44,2,28,4485,2,4,1,-1
44,3,28,4949,2,4,1,0
44,4,28,3074,2,4,2,1
44,5,28,5242,2,4,1,2
44,8,28,2214,2,4,2,5
44,9,28,4330,2,4,2,6
44,11,28,2175,2,4,2,8
44,12,28,1356,2,4,2,9
44,13,28,1809,2,4,2,10
44,14,28,1074,2,4,2,11
44,15,28,1684,2,4,2,12
44,17,28,1136,2,4,2,14
44,18,28,1315,2,4,2,15
44,19,28,1088,2,4,2,16
44,20,28,1205,2,4,2,17
44,21,28,1059,2,4,2,18
44,22,28,1137,2,4,2,19
44,24,28,922,2,4,2,21
44,25,28,1251,2,4,2,22
44,26,28,1006,2,4,2,23
44,28,28,2275,2,4,2,25
44,29,28,1137,2,4,2,26
44,30,28,1222,2,4,2,27
44,31,28,2196,2,4,2,28
44,32,28,983,2,4,2,29
44,34,28,988,2,4,2,31
44,1,29,4187,2,7,1,-5
44,2,29,3951,2,7,1,-4
44,3,29,4589,2,7,1,-3
44,4,29,5724,2,7,1,-2
44,6,29,5344,2,7,1,0
44,7,29,2731,2,7,2,1
44,8,29,4949,2,7,1,2
44,9,29,2524,2,7,2,3
44,10,29,1682,2,7,2,4
44,11,29,1291,2,7,2,5
44,12,29,1107,2,7,2,6
44,13,29,4726,2,7,1,7
44,14,29,1400,2,7,2,8
44,15,29,1253,2,7,2,9
44,17,29,868,2,7,2,11
44,18,29,1136,2,7,2,12
44,19,29,988,2,7,2,13
44,20,29,1326,2,7,2,14
44,21,29,1450,2,7,2,15
44,22,29,953,2,7,2,16
44,23,29,815,2,7,2,17
44,24,29,1013,2,7,2,18
44,25,29,776,2,7,2,19
44,26,29,1125,2,7,2,20
44,27,29,1194,2,7,2,21
44,28,29,1148,2,7,2,22
44,29,29,783,2,7,2,23
44,30,29,1162,2,7,2,24
44,31,29,848,2,7,2,25
44,32,29,2384,2,7,2,26
44,33,29,1108,2,7,2,27
44,34,29,942,2,7,2,28
45,1,20,7705,1,12,1,-10
45,2,20,7958,1,12,1,-9
45,3,20,7942,1,12,1,-8
45,4,20,7539,1,12,1,-7
45,5,20,7849,1,12,1,-6
45,6,20,7229,1,12,1,-5
45,8,20,8054,1,12,1,-3
45,9,20,7848,1,12,1,-2
45,10,20,7763,1,12,1,-1
45,12,20,1562,1,12,2,1
45,15,20,1372,1,12,2,4
