subject,trial,first.correct.trial.item,trials.since.1st.correct,reversions,item,strategy,is.alg,is.ret,RT,logRT,pred.logRT.ps,pred.RT.ps,pred.logRT.de,pred.RT.de
1,1,2,0,FALSE,1,1,1,0,6882,8.836664586357426,8.721902949693643,6135.844188361534,8.593991032803476,5399.1187932643115
1,2,2,1,FALSE,1,2,0,1,1400,7.24422751560335,7.166064349978161,1294.738923039252,7.538892881028352,1879.7477683061381
1,3,2,2,FALSE,1,2,0,1,1404,7.247080584585756,7.088252814953446,1197.8131700308327,6.969686772035773,1063.8894584133884
1,4,2,3,FALSE,1,2,0,1,1290,7.162397497355718,7.033044652256021,1133.4764033922281,6.838477625196537,933.0675743647827
1,5,2,4,FALSE,1,2,0,1,1104,7.00669522683704,6.99022187438584,1085.9623966976997,6.79848928830182,896.4919272839172
1,6,2,5,FALSE,1,2,0,1,989,6.8966943316227125,6.955233117231306,1048.622961542982,6.783127741110834,882.8256604806331
1,8,2,7,FALSE,1,2,0,1,967,6.874198495453294,6.900024954533881,992.2994776669977,6.772691207440075,873.659933155583
1,9,2,8,FALSE,1,2,0,1,650,6.476972362889683,6.877421582206591,970.1217530283826,6.770688032629524,871.9115912863266
1,10,2,9,FALSE,1,2,0,1,888,6.78897174299217,6.857202176663701,950.7034427749228,6.7694686425379,870.8490388957288
1,11,2,10,FALSE,1,2,0,1,766,6.641182169740591,6.838911499498755,933.4724962437787,6.768682916164458,870.1650585844554
1,12,2,11,FALSE,1,2,0,1,668,6.504288173536645,6.822213419509167,918.0147146377341,6.768153005710406,869.7040711749719
1,13,2,12,FALSE,1,2,0,1,805,6.690842277418564,6.806852674954173,904.0210766097396,6.767782029394088,869.3814914007877
1,14,2,13,FALSE,1,2,0,1,603,6.401917196727186,6.792630846847298,891.2552362150053,6.7675141164967565,869.1486040846913
1,16,2,15,FALSE,1,2,0,1,827,6.717804695023691,6.767005256811742,868.7064419085798,6.767164866353852,868.8451068118273
1,17,2,16,FALSE,1,2,0,1,814,6.70196036600254,6.755370976106702,858.6582324981763,6.767048417116673,868.743936352638
1,18,2,17,FALSE,1,2,0,1,863,6.760414691083428,6.744401884484452,849.2910006088063,6.766956843857864,868.664386281701
1,19,2,18,FALSE,1,2,0,1,771,6.647688373563329,6.734026013916474,840.524426182413,6.766883749174652,868.600893854076
1,20,2,19,FALSE,1,2,0,1,751,6.621405651764134,6.724182478941561,832.2912826931822,6.76682462675301,868.5495415838412
1,21,2,20,FALSE,1,2,0,1,720,6.579251212010101,6.714819311822582,824.5347697521167,6.7667762374860105,868.5075141250184
1,22,2,21,FALSE,1,2,0,1,963,6.870053411798126,6.705891801776615,817.2064876402007,6.7667362106799,868.4727512388732
1,23,2,22,FALSE,1,2,0,1,1064,6.96979066990159,6.697361203678226,810.2648776688243,6.766702782840134,868.4437205561226
1,24,2,23,FALSE,1,2,0,1,729,6.591673732008658,6.689193721787027,803.6740060043561,6.766674622782114,868.4192654748947
1,25,2,24,FALSE,1,2,0,1,803,6.688354713946762,6.68135970107138,797.4026044116308,6.766650712198516,868.3985013116925
1,26,2,25,FALSE,1,2,0,1,878,6.777646593635117,6.673832977232033,791.4233057125081,6.766630262620884,868.3807431106987
1,27,2,26,FALSE,1,2,0,1,894,6.795705775173514,6.666590349459736,785.7120285917675,6.766612656733032,868.3654546313063
1,29,2,28,FALSE,1,2,0,1,930,6.835184586147301,6.652876884188532,775.010737571652,6.766584121393507,868.3406758817633
1,30,2,29,FALSE,1,2,0,1,717,6.57507584059962,6.646370943916846,769.984930530682,6.766572488141894,868.3305743149524
1,31,2,30,FALSE,1,2,0,1,745,6.61338421837956,6.640078352036499,765.1549421193929,6.766562251613983,868.3216856702873
1,32,2,31,FALSE,1,2,0,1,669,6.505784060128229,6.633985559089602,760.5071847742273,6.766553203306882,868.3138288645575
1,33,2,32,FALSE,1,2,0,1,635,6.453624998892692,6.6280802667519,756.0294018444333,6.766545171476548,868.3068547432156
1,34,2,33,FALSE,1,2,0,1,706,6.559615237493242,6.622351278384563,751.7105014735502,6.766538013732746,868.3006396474508
1,1,17,-15,TRUE,2,1,1,0,5991,8.698013622083925,8.788615904142148,6559.147401068992,8.752242748835634,6324.857279502684
1,2,17,-14,TRUE,2,1,1,0,6077,8.712266432135355,8.788615904142148,6559.147401068992,8.75200638226134,6323.362471322936
1,3,17,-13,TRUE,2,1,1,0,6262,8.742254901886351,8.788615904142148,6559.147401068992,8.751420766501434,6319.660494677861
1,4,17,-12,TRUE,2,1,1,0,6642,8.801168401936692,8.788615904142148,6559.147401068992,8.750261021110582,6312.335545906203
1,6,17,-10,TRUE,2,1,1,0,6539,8.785539527561276,8.788615904142148,6559.147401068992,8.744941980885782,6278.849116009229
1,7,17,-9,TRUE,2,1,1,0,6186,8.730043953245016,8.788615904142148,6559.147401068992,8.739910663930177,6247.337574740069
1,8,17,-8,TRUE,2,1,1,0,6719,8.81269461292015,8.788615904142148,6559.147401068992,8.7325295165290715,6201.394818947748
1,10,17,-6,TRUE,2,1,1,0,6702,8.810161268297255,8.788615904142148,6559.147401068992,8.7076110392118,6048.774927580828
1,11,17,-5,TRUE,2,1,1,0,6452,8.772145439245099,8.788615904142148,6559.147401068992,8.688149231228754,5932.192959061834
1,13,17,-3,TRUE,2,1,1,0,6295,8.747510946478448,8.788615904142148,6559.147401068992,8.629319025298198,5593.268081580267
1,14,17,-2,TRUE,2,1,1,0,5873,8.67812085552252,8.788615904142148,6559.147401068992,8.587256459654416,5362.880195519385
