subject,trial,first.correct.trial.item,trials.since.1st.correct,reversions,item,strategy,is.alg,is.ret,RT,logRT,pred.logRT.ps,pred.RT.ps,pred.logRT.de,pred.RT.de
1,1,17,-15,TRUE,2,1,1,0,5991,8.698013622083925,8.761328612164096,6382.585928485207,8.734243301308295,6212.031787132051
1,2,17,-14,TRUE,2,1,1,0,6077,8.712266432135355,8.761328612164096,6382.585928485207,8.734062586581873,6210.909282936687
1,3,17,-13,TRUE,2,1,1,0,6262,8.742254901886351,8.761328612164096,6382.585928485207,8.733522724889841,6207.5571558660595
1,4,17,-12,TRUE,2,1,1,0,6642,8.801168401936692,8.761328612164096,6382.585928485207,8.732313626854381,6200.056146345655
1,6,17,-10,TRUE,2,1,1,0,6539,8.785539527561276,8.761328612164096,6382.585928485207,8.726026543273917,6161.1981548663725
1,7,17,-9,TRUE,2,1,1,0,6186,8.730043953245016,8.761328612164096,6382.585928485207,8.719666883680693,6122.139363867649
1,8,17,-8,TRUE,2,1,1,0,6719,8.81269461292015,8.761328612164096,6382.585928485207,8.710065641865134,6063.640503644862
1,10,17,-6,TRUE,2,1,1,0,6702,8.810161268297255,8.761328612164096,6382.585928485207,8.677097112828864,5866.9906357064
1,11,17,-5,TRUE,2,1,1,0,6452,8.772145439245099,8.761328612164096,6382.585928485207,8.65155591141687,5719.038131568503
1,13,17,-3,TRUE,2,1,1,0,6295,8.747510946478448,8.761328612164096,6382.585928485207,8.577402732136758,5310.295339266104
1,14,17,-2,TRUE,2,1,1,0,5873,8.67812085552252,8.761328612164096,6382.585928485207,8.527520771867868,5051.9054698685095
1,16,17,0,TRUE,2,1,1,0,6264,8.74257423767064,8.761328612164096,6382.585928485207,8.402309911837639,4457.350953054203
1,17,17,1,TRUE,2,2,0,1,2036,7.618742377670413,7.709949464430682,2230.429539310938,8.328702514288052,4141.0411234088215
1,18,17,2,TRUE,2,2,0,1,4063,8.309676895987726,7.689508001406527,2185.2991335952,8.249774391686794,3826.7623746387967
1,19,17,3,TRUE,2,1,1,0,6138,8.722254235179681,8.761328612164096,6382.585928485207,8.167483526116499,3524.463574137335
1,20,17,4,TRUE,2,2,0,1,1622,7.3914152346753585,7.651828105476313,2104.489303412824,8.083906872444603,3241.87411606704
1,21,17,5,TRUE,2,1,1,0,7486,8.920789888464375,8.761328612164096,6382.585928485207,8.001034054932278,2984.0420556244985
1,22,17,6,TRUE,2,2,0,1,2732,7.912789220690681,7.617742493483106,2033.96525321973,7.920601534670875,2753.4268293760447
1,24,17,8,TRUE,2,2,0,1,1317,7.183111701743281,7.58662476774644,1971.6475021638735,7.772182965490816,2373.647226835938
1,25,17,9,TRUE,2,2,0,1,1523,7.328437352895162,7.572025669634749,1943.072320305834,7.7057880983036,2221.167190755286
1,26,17,10,TRUE,2,2,0,1,1067,6.9726062513017535,7.557999234962353,1916.0081936603647,7.645080901031074,2090.3376794672836
1,27,17,11,TRUE,2,2,0,1,6483,8.776938645174996,7.54450222783509,1890.3215537373999,7.5900748171100245,1978.4615309829649
1,28,17,12,TRUE,2,2,0,1,2552,7.844632644464681,7.531496131205533,1865.8950400755598,7.540590255940063,1882.9411143944815
1,29,17,13,TRUE,2,2,0,1,1798,7.494430215031565,7.518946484212188,1842.6250365664255,7.496317882287934,1801.3972311391658
1,30,17,14,TRUE,2,2,0,1,1848,7.521859252201629,7.506822331904877,1820.419652711937,7.456871036293731,1731.7210789618935
1,31,17,15,TRUE,2,2,0,1,1038,6.945051063725834,7.495095765232092,1799.1970575673113,7.421826106285364,1672.0841248515328
1,33,17,17,TRUE,2,2,0,1,1519,7.325807502595773,7.472736719911668,1759.415129309439,7.363228235750361,1576.9190212168048
1,34,17,18,TRUE,2,2,0,1,1740,7.461640392208575,7.462060457199159,1740.7310666206126,7.338860469003834,1538.9574244077921
1,1,9,-7,TRUE,3,1,1,0,5039,8.524962928680598,8.483822727268123,4835.900938134333,8.3980634891605,4438.463287774288
1,2,9,-6,TRUE,3,1,1,0,3983,8.289790583181643,8.483822727268123,4835.900938134333,8.394858805283981,4424.262183218613
1,3,9,-5,TRUE,3,1,1,0,4359,8.3799979522383925,8.483822727268123,4835.900938134333,8.385501416720752,4383.055735905791
1,4,9,-4,TRUE,3,1,1,0,5001,8.517393171418904,8.483822727268123,4835.900938134333,8.365153148815304,4294.769426524188
1,5,9,-3,TRUE,3,1,1,0,4390,8.387084506069217,8.483822727268123,4835.900938134333,8.328056291778772,4138.365953893496
1,6,9,-2,TRUE,3,1,1,0,4504,8.412721169819527,8.483822727268123,4835.900938134333,8.268899609053815,3900.6543849445156
1,7,9,-1,TRUE,3,1,1,0,4544,8.421562960400987,8.483822727268123,4835.900938134333,8.185105584284484,3587.122343006496
1,8,9,0,TRUE,3,1,1,0,4793,8.474911799159631,8.483822727268123,4835.900938134333,8.078957956555229,3225.8699879487594
1,9,9,1,TRUE,3,2,0,1,1528,7.331714969726466,7.383520543166252,1609.2452241288902,7.957694105869923,2857.476311997419
1,10,9,2,TRUE,3,2,0,1,572,6.349138991379798,7.351909611952889,1559.1710985617349,7.831038815344289,2517.543278089073
1,11,9,3,TRUE,3,2,0,1,2627,7.87359778968554,7.323314046347342,1515.2171580939564,7.70802135777754,2226.133176530668
1,12,9,4,TRUE,3,1,1,0,5021,8.521384396034705,8.483822727268123,4835.900938134333,7.59503297418242,1988.2954128349152
1,13,9,5,TRUE,3,2,0,1,2873,7.96311205897929,7.273193418650828,1441.1452927648093,7.495466391934415,1799.8640116274444
